artist,date,dj,genre,show,timestamp,title
Panel Donor,"Nov 7, 2024",Masen,Rock,Outshined,1:47 PM,Humble Asst. Cocoa
Difference Engine,"Nov 7, 2024",Masen,Unknown,Outshined,1:48 PM,5 Listens
Codeine,"Nov 7, 2024",Masen,Unknown,Outshined,1:52 PM,Loss Leader
Rocketship,"Nov 7, 2024",Masen,Unknown,Outshined,1:57 PM,I Love You Like the Way That I Used to Do
Duster,"Sep 26, 2024",Masen,Unknown,Outshined,1:22 PM,Cooking
Panel Donor,"Sep 26, 2024",Masen,Unknown,Outshined,1:26 PM,Very Young Early Small Peas
Catherine,"Sep 26, 2024",Masen,Unknown,Outshined,1:29 PM,Doll House
Thinking Fellers Union Local 282,"Sep 26, 2024",Masen,Unknown,Outshined,1:34 PM,Hurricane
Starflyer 59,"Sep 26, 2024",Masen,Unknown,Outshined,1:40 PM,Fell In Love At 22
Brainiac,"Sep 26, 2024",Masen,Unknown,Outshined,1:43 PM,Ride
Unwound,"Sep 26, 2024",Masen,Unknown,Outshined,1:46 PM,October All Over
The Afghan Whigs,"Sep 26, 2024",Masen,Unknown,Outshined,1:51 PM,"Blame, Etc."
Kante,"Sep 26, 2024",Masen,indie pop,Outshined,1:55 PM,Tourisme
Hotline TNT,"Sep 26, 2024",Masen,Rock,Outshined,1:59 PM,Protocol
Eggs,"Oct 3, 2024",Masen,Unknown,Outshined,1:17 PM,The Government Administrator
Versus,"Oct 3, 2024",Masen,Rock,Outshined,1:22 PM,Silver Vein
Mineral,"Oct 3, 2024",Masen,Rock,Outshined,1:25 PM,Waking To Winter
Hazel,"Oct 3, 2024",Masen,Unknown,Outshined,1:29 PM,Comet
Polvo,"Oct 3, 2024",Masen,Rock,Outshined,1:34 PM,Tilebreaker
Urusei Yatsura,"Oct 3, 2024",Masen,Pop,Outshined,1:36 PM,First Day on a New Planet
The Faith Healers,"Oct 3, 2024",Masen,Rock,Outshined,1:41 PM,Sparklingly Chime
Elevator Through,"Oct 3, 2024",Masen,Unknown,Outshined,1:45 PM,"Comfortable, But Almost"
Distorted Pony,"Oct 3, 2024",Masen,Rock,Outshined,1:51 PM,Gut Bug
Seam,"Oct 3, 2024",Masen,Rock,Outshined,1:52 PM,Decatur
Galaxie 500,"Oct 3, 2024",Masen,Indie Pop,Outshined,1:55 PM,Ceremony
Poster Children,"Oct 17, 2024",Masen,Rock,Outshined,1:18 PM,Love
All Natural Lemon & Lime Flavors,"Oct 17, 2024",Masen,Unknown,Outshined,1:21 PM,Muffin 57
Jawbox,"Oct 17, 2024",Masen,Indie Rock,Outshined,1:23 PM,Impossible Figure
Shiner,"Oct 17, 2024",Masen,Rock,Outshined,1:26 PM,Martyr
Boys Life,"Oct 17, 2024",Masen,Unknown,Outshined,1:30 PM,Golf Hill Drive
Brainiac,"Oct 17, 2024",Masen,Unknown,Outshined,1:33 PM,HOT 53AT CAN'T 51T DOWN
The Microphones,"Oct 17, 2024",Masen,Rock,Outshined,1:37 PM,I Felt Your Shape
The Kelly Deal 6000,"Oct 17, 2024",Masen,Unknown,Outshined,1:39 PM,Shag
Guided By Voices,"Oct 17, 2024",Masen,Rock,Outshined,1:41 PM,Blimps Go 90
764-Hero,"Oct 17, 2024",Masen,Unknown,Outshined,1:42 PM,History Lessons
Swirlies,"Oct 17, 2024",Masen,Unknown,Outshined,1:46 PM,Upstairs
Love Battery,"Oct 24, 2024",Masen,Unknown,Outshined,1:23 PM,Half Past You
Half String,"Oct 24, 2024",Masen,Rock,Outshined,1:26 PM,Backstroke
Hazel,"Oct 24, 2024",Masen,Unknown,Outshined,1:28 PM,King Twist
Thirty Ought Six,"Oct 24, 2024",Masen,Pop,Outshined,1:31 PM,Tike
Hammerbox,"Oct 24, 2024",Masen,Pop,Outshined,1:34 PM,Blur
Treepeople,"Oct 24, 2024",Masen,Unknown,Outshined,1:38 PM,Feed Me
Seaweed,"Oct 24, 2024",Masen,Unknown,Outshined,1:41 PM,Recall
Tsunami,"Oct 24, 2024",Masen,Rock,Outshined,1:44 PM,Water's Edge
Bailter Space,"Oct 24, 2024",Masen,Unknown,Outshined,1:47 PM,Velo
Dig,"Oct 24, 2024",Masen,Unknown,Outshined,1:51 PM,i'll Stay High
Catherine Wheel,"Oct 24, 2024",Masen,Unknown,Outshined,1:54 PM,Black metallic
The Misfits,"Oct 31, 2024",Masen,Rock,Outshined,1:00 PM,Halloween II
Cocteau Twins,"Oct 31, 2024",Masen,Unknown,Outshined,1:02 PM,When Mama Was Moth
Xmal Deutschland,"Oct 31, 2024",Masen,Unknown,Outshined,1:06 PM,Derwisch
Orchestral Manoeuvres In the Dark,"Oct 31, 2024",Masen,Pop,Outshined,1:12 PM,The New Stone Age
Angelo Badalamenti,"Oct 31, 2024",Masen,Pop,Outshined,1:13 PM,Twin Peaks Theme - Instrumental
Skinny Puppy,"Oct 31, 2024",Masen,Unknown,Outshined,1:14 PM,First Aid
Mike Oldfield,"Oct 31, 2024",Masen,Rock,Outshined,1:18 PM,Tubular Bells - Opening Theme
David Bowie,"Oct 31, 2024",Masen,Indie Rock,Outshined,1:20 PM,Scary Monsters (And Super Creeps) - 1999 Remastered Version
Kill Holiday,"Oct 17, 2024",Masen,Unknown,Outshined,1:50 PM,Someday You Will Lose And I Will Win
Built To Spill,"Oct 17, 2024",Masen,Unknown,Outshined,1:55 PM,Stop The Show
Dwaal Troupe,"Oct 17, 2024",Masen,Unknown,Outshined,1:59 PM,The Sharks Got You Again
Ylayali,"Oct 24, 2024",Masen,Rock,Outshined,1:59 PM,Devil Dog
